J,Predicted_Mass_GeV,Mass_Uncertainty_GeV,M2_GeV2,M2_Uncertainty_GeV2,Kappa,Confidence_Level,Search_Window_Min_GeV,Search_Window_Max_GeV,N_Sigma,PDG_Candidates_Count,Match_Quality,Best_Match_Name,Best_Match_Mass_GeV,Best_Match_Sigma_Diff
11.5,3.8777432214772505,0.8303337656842151,15.036892491712765,6.439642262891289,0.25,0.68,2.3831424432456627,5.372343999708838,1.8000000000000003,5,within_n_sigma,Delta(2750),2.75,1.3581806113207533
12.5,4.048308207237084,0.8942454060805108,16.388799340783134,7.240362033439582,0.25,0.68,2.4386664762921644,5.6579499381820035,1.8000000000000003,3,within_n_sigma,Delta(2750),2.75,1.4518477796017824
13.5,4.211971769831026,0.9547282635855114,17.740706189853505,8.042576988163937,0.25,0.68,2.4934608953771047,5.930482644284947,1.8000000000000003,3,within_n_sigma,Delta(2750),2.75,1.5312962081383719
14.5,4.369509473490573,1.0122280778219621,19.09261303892386,8.845880350752433,0.25,0.68,2.547498933411041,6.191520013570105,1.8000000000000003,2,within_n_sigma,Delta(2750),2.75,1.5999452188436762
15.5,4.521561664734236,1.0671092236176567,20.444519887994232,9.65000031518782,0.25,0.68,2.6007650622224534,6.442358267246018,1.8000000000000003,1,within_n_sigma,Delta(2750),2.75,1.660150269087153
